"Sample_ID","CXCL13_expression"
"TCGA-2F-A9KO-01",9933.53
"TCGA-4Z-AA7N-01",3149.17
"TCGA-4Z-AA7O-01",875.811
"TCGA-4Z-AA7Q-01",1017.88
"TCGA-4Z-AA7W-01",2569.23
"TCGA-4Z-AA86-01",891.53
"TCGA-BT-A20J-01",4244.81
"TCGA-BT-A20O-01",2771.33
"TCGA-BT-A20W-01",447.57
"TCGA-BT-A2LB-01",507.654
"TCGA-BT-A3PK-01",360.432
NA,NA
"TCGA-BT-A42E-01",384.274
"TCGA-BT-A42F-01",603.899
"TCGA-C4-A0F7-01",3609.28
"TCGA-CF-A9FF-01",584.296
"TCGA-DK-A1A6-01",1080.64
"TCGA-DK-A1A7-01",798.533
"TCGA-DK-A1AC-01",698.985
"TCGA-DK-A1AE-01",2450.82
"TCGA-DK-A2I1-01",696.063
"TCGA-DK-A2I4-01",1835.6
"TCGA-DK-A3IL-01",358.949
"TCGA-DK-A3IT-01",515.379
"TCGA-DK-A3IU-01",4963.06
"TCGA-DK-A3IV-01",428.602
"TCGA-DK-A3WW-01",492.41
"TCGA-DK-A3WY-01",18246.7
"TCGA-DK-A6AV-01",440.431
"TCGA-DK-A6AW-01",1318.02
"TCGA-DK-AA6Q-01",843.514
"TCGA-DK-AA6S-01",734.541
"TCGA-DK-AA74-01",940.163
"TCGA-DK-AA77-01",415.429
"TCGA-E7-A3X6-01",483.721
"TCGA-E7-A6MD-01",860.804
"TCGA-E7-A7XN-01",1140.74
"TCGA-E7-A85H-01",351.043
"TCGA-E7-A97P-01",652.237
"TCGA-FD-A3B3-01",3610.56
"TCGA-FD-A3B4-01",2975.17
"TCGA-FD-A3B6-01",854.171
"TCGA-FD-A3B7-01",830.702
"TCGA-FD-A3B8-01",3118.77
"TCGA-FD-A43P-01",1611.8
"TCGA-FD-A43S-01",3888.61
"TCGA-FD-A43U-01",385.959
"TCGA-FD-A5BR-01",1224.24
"TCGA-FD-A5BS-01",2432.13
"TCGA-FD-A5BT-01",921.404
"TCGA-FD-A5BU-01",534.896
"TCGA-FD-A5BY-01",820.319
"TCGA-FD-A5C1-01",1373.88
"TCGA-FD-A62N-01",3448.88
"TCGA-FD-A62P-01",584.846
"TCGA-FD-A62S-01",352.624
"TCGA-FD-A6TA-01",537.915
"TCGA-FD-A6TB-01",3337.26
"TCGA-FD-A6TF-01",502.594
"TCGA-FD-A6TI-01",451.141
"TCGA-FD-A6TK-01",743.857
"TCGA-FT-A61P-01",377.219
"TCGA-G2-A2EK-01",728.363
"TCGA-G2-A2EO-01",1436.89
"TCGA-GC-A3WC-01",1012.34
"TCGA-GC-A6I1-01",397.167
"TCGA-GC-A6I3-01",632.698
"TCGA-GD-A3OS-01",358.915
"TCGA-GD-A76B-01",676
"TCGA-GU-A762-01",1096.97
"TCGA-GU-A763-01",566.842
"TCGA-GU-A764-01",794.935
"TCGA-GU-A766-01",1837.74
"TCGA-GV-A3QG-01",2603.14
"TCGA-K4-A3WS-01",718.06
"TCGA-K4-A3WU-01",1593.09
"TCGA-K4-A3WV-01",986.527999999999
"TCGA-K4-A54R-01",1088.55
"TCGA-K4-A5RH-01",1280.11
"TCGA-K4-A5RJ-01",537.111
"TCGA-K4-A83P-01",3571.82
"TCGA-K4-AAQO-01",454.707
"TCGA-LC-A66R-01",652.395
"TCGA-PQ-A6FN-01",421.377
"TCGA-R3-A69X-01",829.923
"TCGA-S5-A6DX-01",1160.31
"TCGA-SY-A9G0-01",2651.92
"TCGA-SY-A9G5-01",900.256
"TCGA-UY-A78K-01",991.776
"TCGA-UY-A78P-01",365.392
"TCGA-UY-A8OC-01",664.582
"TCGA-UY-A8OD-01",448.489
"TCGA-UY-A9PB-01",1397.44
"TCGA-UY-A9PH-01",918.737
"TCGA-XF-A8HD-01",490.518
"TCGA-XF-A8HE-01",679.792
NA,NA
"TCGA-XF-A9SI-01",63590
"TCGA-XF-A9SK-01",359.913
"TCGA-XF-A9SL-01",2474.75
"TCGA-XF-A9SM-01",1826.51
"TCGA-XF-A9SW-01",564.901
"TCGA-XF-A9SX-01",477.977
"TCGA-XF-A9SY-01",1201.31
"TCGA-XF-A9T0-01",427.205
"TCGA-XF-A9T5-01",1245.1
"TCGA-XF-A9T8-01",394.002
"TCGA-XF-AAME-01",2131.43
NA,NA
"TCGA-XF-AAMQ-01",628.249
"TCGA-XF-AAMW-01",5113.94
"TCGA-XF-AAMZ-01",597.964
"TCGA-XF-AAN2-01",493.493
"TCGA-XF-AAN4-01",362.09
"TCGA-XF-AAN5-01",699.149
"TCGA-ZF-A9R1-01",602.364
"TCGA-ZF-A9R7-01",737.124
"TCGA-ZF-A9RD-01",930.294999999999
NA,NA
"TCGA-ZF-A9RN-01",811.33
"TCGA-ZF-AA51-01",650.339
"TCGA-ZF-AA53-01",338.843
"TCGA-ZF-AA56-01",422.585
"TCGA-ZF-AA58-01",1597.39
"TCGA-ZF-AA5H-01",1084.39
"TCGA-ZF-AA5P-01",373.541
