sample_id,CXCL13_expression,CXCL13_status
Entrez_Gene_Id,10563.0,enriched
TCGA-2F-A9KO-01,9933.53,enriched
TCGA-2F-A9KP-01,19.1427,not_enriched
TCGA-2F-A9KQ-01,1.3908,not_enriched
TCGA-2F-A9KR-01,71.7044,not_enriched
TCGA-2F-A9KT-01,11.3058,not_enriched
TCGA-2F-A9KW-01,1.5708,not_enriched
TCGA-4Z-AA7M-01,6.5359,not_enriched
TCGA-4Z-AA7N-01,3149.17,enriched
TCGA-4Z-AA7O-01,875.811,enriched
TCGA-4Z-AA7Q-01,1017.88,enriched
TCGA-4Z-AA7R-01,6.6756,not_enriched
TCGA-4Z-AA7S-01,43.9301,not_enriched
TCGA-4Z-AA7W-01,2569.23,enriched
TCGA-4Z-AA7Y-01,5.966,not_enriched
TCGA-4Z-AA80-01,100.726,not_enriched
TCGA-4Z-AA81-01,177.961,not_enriched
TCGA-4Z-AA82-01,59.9214,not_enriched
TCGA-4Z-AA83-01,36.9637,not_enriched
TCGA-4Z-AA84-01,40.6303,not_enriched
TCGA-4Z-AA86-01,891.53,enriched
TCGA-4Z-AA87-01,114.079,not_enriched
TCGA-4Z-AA89-01,58.4946,not_enriched
TCGA-5N-A9KI-01,78.6102,not_enriched
TCGA-5N-A9KM-01,88.835,not_enriched
TCGA-BL-A0C8-01,0.0,not_enriched
TCGA-BL-A13I-01,99.11,not_enriched
TCGA-BL-A13J-01,54.1385,not_enriched
TCGA-BL-A3JM-01,220.656,not_enriched
TCGA-BL-A5ZZ-01,5.5003,not_enriched
TCGA-BT-A0S7-01,84.6037,not_enriched
TCGA-BT-A0YX-01,320.714,not_enriched
TCGA-BT-A20J-01,4244.81,enriched
TCGA-BT-A20N-01,23.8353,not_enriched
TCGA-BT-A20O-01,2771.33,enriched
TCGA-BT-A20P-01,4.1288,not_enriched
TCGA-BT-A20Q-01,281.75,not_enriched
TCGA-BT-A20R-01,17.3385,not_enriched
TCGA-BT-A20T-01,171.473,not_enriched
TCGA-BT-A20U-01,51.5732,not_enriched
TCGA-BT-A20V-01,46.9426,not_enriched
TCGA-BT-A20W-01,447.57,enriched
