"Sample_ID","CXCL13_expression"
"TCGA-2F-A9KP-01",19.1427
"TCGA-2F-A9KQ-01",1.3908
"TCGA-2F-A9KR-01",71.7044
"TCGA-2F-A9KT-01",11.3058
"TCGA-2F-A9KW-01",1.5708
"TCGA-4Z-AA7M-01",6.5359
"TCGA-4Z-AA7R-01",6.6756
"TCGA-4Z-AA7S-01",43.9301
"TCGA-4Z-AA7Y-01",5.966
"TCGA-4Z-AA80-01",100.726
"TCGA-4Z-AA81-01",177.961
"TCGA-4Z-AA82-01",59.9214
"TCGA-4Z-AA83-01",36.9637
"TCGA-4Z-AA84-01",40.6303
"TCGA-4Z-AA87-01",114.079
"TCGA-4Z-AA89-01",58.4946
"TCGA-5N-A9KI-01",78.6102
"TCGA-5N-A9KM-01",88.835
"TCGA-BL-A0C8-01",0
"TCGA-BL-A13I-01",99.11
"TCGA-BL-A13J-01",54.1385
"TCGA-BL-A3JM-01",220.656
"TCGA-BL-A5ZZ-01",5.5003
"TCGA-BT-A0S7-01",84.6037
"TCGA-BT-A0YX-01",320.714
"TCGA-BT-A20N-01",23.8353
"TCGA-BT-A20P-01",4.1288
"TCGA-BT-A20Q-01",281.75
"TCGA-BT-A20R-01",17.3385
"TCGA-BT-A20T-01",171.473
"TCGA-BT-A20U-01",51.5732
"TCGA-BT-A20V-01",46.9426
"TCGA-BT-A20X-01",59.7189
"TCGA-BT-A2LA-01",1.1754
"TCGA-BT-A2LD-01",253.24
"TCGA-BT-A3PH-01",2.7952
"TCGA-BT-A3PJ-01",178.571
NA,NA
"TCGA-BT-A42C-01",16.8407
"TCGA-C4-A0EZ-01",9.5457
"TCGA-C4-A0F0-01",86.934
"TCGA-C4-A0F1-01",277.636
"TCGA-C4-A0F6-01",21.3274
"TCGA-CF-A1HR-01",28.6035
"TCGA-CF-A1HS-01",93.2457
"TCGA-CF-A27C-01",3.1026
"TCGA-CF-A3MF-01",3.1788
"TCGA-CF-A3MG-01",0.9479
"TCGA-CF-A3MH-01",2.8124
"TCGA-CF-A3MI-01",14.0672
"TCGA-CF-A47S-01",6.6259
"TCGA-CF-A47T-01",3.6254
"TCGA-CF-A47V-01",10.6809
"TCGA-CF-A47W-01",0.9434
"TCGA-CF-A47X-01",26.1059
"TCGA-CF-A47Y-01",1.1474
"TCGA-CF-A5U8-01",3.6998
"TCGA-CF-A5UA-01",0.994
"TCGA-CF-A7I0-01",4.0299
"TCGA-CF-A8HX-01",4.2735
"TCGA-CF-A8HY-01",0.6817
"TCGA-CF-A9FH-01",17.8542
"TCGA-CF-A9FL-01",160.337
"TCGA-CF-A9FM-01",5.1041
"TCGA-CU-A0YN-01",212
"TCGA-CU-A0YO-01",38.1963
"TCGA-CU-A0YR-01",160.616
"TCGA-CU-A3KJ-01",53.8607
"TCGA-CU-A3QU-01",0.3178
"TCGA-CU-A3YL-01",62.7907
"TCGA-CU-A5W6-01",31.0627
"TCGA-CU-A72E-01",20.9618
"TCGA-DK-A1A3-01",244.238
"TCGA-DK-A1A5-01",102.034
"TCGA-DK-A1AA-01",1.5868
"TCGA-DK-A1AB-01",139.973
"TCGA-DK-A1AD-01",287.649
"TCGA-DK-A1AF-01",185.281
"TCGA-DK-A1AG-01",3.6782
"TCGA-DK-A2HX-01",39.8936
"TCGA-DK-A2I2-01",170.155
"TCGA-DK-A2I6-01",33.1599
